name,countries,categories,currency,denominations,discount,expiry,url
"Total Germany","DE","cars","EUR","10; 25; 50; 75; 100",0.25,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/total-de.jpg"
"Sports Direct","GB","fashion; sports","GBP","10; 25; 50; 100",5,"Valid for 24 Months","https://assets.tillo.io/images/brands/vouchers/330x214/sports-direct.jpg"
"Calzedonia Slovakia","SK","fashion","EUR","30; 50; 70; 100",7,"3 years for end code but 1 year for Amilon's link","https://assets.tillo.io/images/brands/vouchers/330x214/calzedonia-sk.jpg"
"Dots.eco - Plant a tree where needed the most UK","GB","charity","GBP","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",43,"N/A","https://assets.tillo.io/images/brands/vouchers/330x214/plant-a-tree-uk.jpg"
"Mango Germany","DE","fashion; jewellery","EUR","25; 50",4,"Unlimited","https://assets.tillo.io/images/brands/vouchers/330x214/mango-de.jpg"
"FlystayGift","GB","travel-and-leisure","GBP","50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",7.5,"12 months from activation or last use","https://assets.tillo.io/images/brands/vouchers/330x214/flystaygift.jpg"
"Zara Spain","ES","fashion","EUR","25; 50; 100; 150; 250",1,"No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/zara-es.jpg"
"Intimissimi Slovakia","SK","fashion","EUR","30; 50; 70; 100",5.5,"3 years for end code but 1 year for Amilon's link","https://assets.tillo.io/images/brands/vouchers/330x214/intimissimi-sk.jpg"
"Dots.eco - Clean 1 LB of Ocean Plastic EUR","IE; AT; BE; HR; CY; EE; FI; FR; DE; GR; IT; LV; LT; LU; MT; NL; PT; SK; SI; ES","charity","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",31,"N/A","https://assets.tillo.io/images/brands/vouchers/330x214/clean-ocean-plastic-eur.jpg"
"Matalan","GB","baby; fashion; home; toys","GBP","10; 25; 50; 100",9.5,"24 months from activation.","https://assets.tillo.io/images/brands/vouchers/330x214/matalan.jpg"
"Animod Germany","DE","craft; travel-and-leisure","EUR","15; 25; 50; 100",4.5,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/animod-de.jpg"
"Ernest Jones","GB","jewellery","GBP","10; 25; 50; 100; 250; 500; 1000; 2000",7.5,"24 months of consecutive non-use","https://assets.tillo.io/images/brands/vouchers/330x214/ernestjones.jpg"
"L'ERBOLARIO Italy","IT","beauty","EUR","10; 25; 50",4.5,"6 months","https://assets.tillo.io/images/brands/vouchers/330x214/lerbolario-it.jpg"
"Rituals Luxembourg","LU","beauty; home","EUR","10; 25; 50; 100",10,"No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/rituals-lu.jpg"
"Tchibo Germany","DE","baby; fashion; electronics; home; jewellery; sports; toys","EUR","10; 15; 20; 25; 44; 50",7,"2 years","https://assets.tillo.io/images/brands/vouchers/330x214/tchibo-de.jpg"
"TheFork France","FR","food-and-drink","EUR","25; 50; 100",4.5,"18 Months","https://assets.tillo.io/images/brands/vouchers/330x214/thefork-fr.jpg"
"Eckerle Germany","DE","fashion; jewellery","EUR","10; 15; 25; 50; 100",9,"30 months","https://assets.tillo.io/images/brands/vouchers/330x214/eckerle-de.jpg"
"Hobbycraft","GB","craft","GBP","10; 25; 50; 100",9,"24 months from date of issue","https://assets.tillo.io/images/brands/vouchers/330x214/hobbycraft.jpg"
"Rituals Belgium","BE","beauty; home","EUR","10; 25; 50; 100",10,"No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/rituals-be.jpg"
"Innkeeper's Lodge","GB","food-and-drink","GBP","10; 25; 50; 100; 250",12,"2 years from last load.","https://assets.tillo.io/images/brands/vouchers/330x214/innkeepers.jpg"
"Stonehouse","GB","food-and-drink","GBP","10; 25; 50; 100; 250",12,"2 years from last load.","https://assets.tillo.io/images/brands/vouchers/330x214/stonehouse.jpg"
"Leuchtturm Germany","DE","baby; craft; electronics; toys; travel-and-leisure","EUR","10; 20; 50",14,"30 months","https://assets.tillo.io/images/brands/vouchers/330x214/leuchtturm-de.jpg"
"FloraPrima Germany","DE","home","EUR","10; 15; 20; 25; 50",14,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/floraprima-de.jpg"
"The Charity Shop Gift Card UK","GB","books; charity; fashion; electronics; home; music; toys","GBP","25; 50; 100; 250; 500; 1000",9,"24 months after first activation","https://assets.tillo.io/images/brands/vouchers/330x214/the-charity-shop-gift-card-uk.jpg"
"ToursGift IE","IE","travel-and-leisure","EUR","50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",7.5,"60 months from activation or last use","https://assets.tillo.io/images/brands/vouchers/330x214/toursgift-ie.jpg"
"Morrisons","GB","supermarket","GBP","10; 25; 50; 100; 250; 500",3,"12 months from initial activation","https://assets.tillo.io/images/brands/vouchers/330x214/morrisons.jpg"
